Комбінації карт,Значення комбінацій карт,,комбінації 3 карт,Значення комбінацій з 3 картами
Пустельник and Башта,"- Обдарований промовець. Той хто
у своїх найкращих проявах під час розмови. Загалом, потреба в
«особливих умов» як випуск творчого розуму.
- споглядання раптового перевороту;
- споглядання зламаної гордості;
- Споглядання катастрофи;
- шукати істину раптового перевороту;
- шукати істину зламаної гордості;
- Пошук істини катастрофи;
- Внутрішнє керівництво раптовим переворотом;
- Внутрішнє керівництво зламане гордістю;
- Внутрішнє керівництво катастрофою;
- Обдарований промовець. Той, хто є Атісом або її найкращим під час розмови. Загалом потреба в «особливих умовах» як випуск для творчого розуму.
",,,
Сила and Башта,"- Гордий батько. Важкий друг. Той, хто не цікавиться питаннями поза вдома. Ця пара козирів має тенденцію збільшувати значущість інших карт у читанні, де задіяна дія.
- Внутрішня сила раптового перевороту;
- внутрішня сила зламана гордістю;
- Внутрішня сила лиха;
- хоробрість раптового перевороту;
- хоробрість зламала гордість;
- хоробрість лиха;
- Співчуття раптового перевороту;
- співчуття зламаної гордості;
- нещастя із співчуття;
- фокус раптового перевороту;
- зосередитися на зламаній гордості;
- фокус лиха;
- Гордий батько. Важкий друг. Той, хто не цікавиться питаннями поза домом. Ця пара козирів має тенденцію збільшувати значущість інших карток у читанні, де дія залучена.
",,,
Місяць and Диявол,"- ілюзії матеріалізму;
- ілюзії грайливості;
- інтуїція матеріалізму;
- інтуїція, грайливість;
- фізичне благополуччя. Вхід із природою. Добре
",,,
Диявол and Суд,"- Панування над землею. Ситуація, начебто, абсолютної влади над чимось чи кимось. Також оплата боргів.
- Залежність;
- матеріалізм;
- грайливість;
- Панування над землею. Створення, начебто, абсолютної влади над чимось чи кимось. Також оплата боргів.
",,,
Диявол and Поміркованість,"- матеріалізм терпіння;
- матеріалізм набуває сенсу;
- грайливість, терпіння;
- грайливість знаходить сенс;
- Період спокою. Тимчасові питання продовжуються без особливого нагляду. Бізнес на будь-якому кілі.
",,,
Диявол and Смерть,"- Залежність, що викликає фактичну смерть;
- Незначна обструкція чи дискомфорт, особливо тенденція приймати незначну проблему за велику. Іноді невелика, але поширена хвороба, як застуда;
- смерть - це кінець, і диявол не відпускає і натомість стає одержимим тим, що зникло чи втрачено;
- час покінчити зі звичкою або перестати приносити задоволення іншим;
- Незначна обструкція чи дискомфорт, особливо тенденція приймати незначну проблему для майорона. Іноді невелика, але поширена хвороба, як застуда.
",,,
Диявол and Колісниця,"- Послух без питань. Той, хто бореться зі змінами. Непрактичні форми ідеалізму. Схильність до блюзнерства;
- сліпий патріотизм. Захист соціальних законів та форм. Консервативна політика
",,,
Диявол and Жрець,"- матеріалізм, відповідність матеріалізму;
- матеріалізм відповідності грайливості;
- матеріалізм, мораль, матеріалізм;
- матеріалізм, моральність, грайливість;
- матеріалізм, етика, матеріалізм;
- матеріалізм, етика, грайливість;
- грайливість відповідності матеріалізму;
- грайливість, відповідність грайливості;
- грайливість, моральність, матеріалізм;
- грайливість, моральність, грайливість;
- грайливість, етика, матеріалізм;
- грайливість, етика, грайливість;
- Навчання через досвід. Тренування та навички фізичного тіла. Влучна.
",,,
Диявол and Жриця,"- холодний і залежний від чогось;
- недоторканний, інтуїтивний і поза його лігою, але він все ще одержимий нею;
- секрети та брехня;
- Схильність до меланхолії. Людина, яка іноді лякає боязких людей. Часто чоловік чи жінка з великим тілом;
- емоційний роман Емоційний шантаж;
- Схильність до меланхолії. Людина, яка іноді лякає боязких людей. Часто чоловік або жінка з великим тілом.
",,,
Диявол and Маг,"- матеріалізм, бажання матеріалізм;
- матеріалізм бажає грайливості;
- матеріалізм, створення матеріалізму;
- матеріалізм, створення грайливості;
- матеріалізм прояв матеріалізму;
- матеріалізм, прояв грайливості;
- грайливість бажання матеріалізму;
- грайливість бажання грайливість;
- грайливість створення матеріалізму;
- грайливість, створення грайливості;
- Вияв грайливості матеріалізму;
- грайливість, прояв грайливості;
- Людину часто неправильно розуміють. Той, хто діє несвідомо, але успішно. Вміння жити. Також людина, яка вселяє страх через таємничу діяльність.
",,,
Суд and Поміркованість,"- Крижаний спокій. Більшість елементів особистості пригнічені. Гарний час для проходження тесту;
- Середня траєкторія відображення;
- Відображення терпіння;
- Відображення набуття сенсу;
- Розрахунок середнього шляху;
- розраховувати на терпіння;
- розраховувати на здобуття сенсу;
- пробудження середнього шляху;
- пробудження терпіння;
- пробудження набуття сенсу;
- Крижаний спокій. Пригнічення особи пригнічуються. Гарний час, щоб скласти тест.
",,,
Помірність and Старший аркан Суд,"- час емоційний
навантаження, коли емоції, здається, повністю зникають.
Shock. Також час, коли об'єктивне усвідомлення сильно
домінує над суб'єктивним усвідомленням.
- Середня доріжка;
- терпіння;
- Знайти сенс;
– Час емоційного навантаження, коли емоції, здається, повністю зникають. Також час, коли об'єктивне усвідомлення сильно переважає суб'єктивне усвідомлення.
",,,
Помірність and Сонце,"- Вечірка
– Пупер. Той хто
свідомо відмовляється збуджуватись. Людина яка
автоматично робить виправдання, щоб уникнути соціальної активності.
- Середній шлях радості;
- Середній шлях успіху;
- середина шляху святкування;
- Середній шлях позитиву;
- терпіння радості;
- терпіння успіху;
- свято терпіння;
- терпіння позитиву;
- Набуття сенсу радості;
- Знайти сенс успіху;
- Набуття сенсу святкування;
- Знаходження значення позитиву;
- Вечірка-пупер. Той, хто свідомо відмовляється порушуватись. Людина, яка автоматично робить виправдання, щоб уникнути соціальної активності.
",,,
Помірність and Диявол,"- терпіння матеріалізм;
- терпіння, грайливість;
- Набуття сенсу матеріалізму;
- знайти сенс грайливості;
– Нова ситуація перестала бути новою. Стабілізація зміни життєвого циклу. Поінформованість про рутину.
",,,
Смерть and Помірність,"- необхідність звертати увагу
на сигнали від тіла щодо здоров'я, від
емоцій або від загального відчуття ситуації. Також
той, хто звертає увагу.
- Закінчення середнього шляху;
- припинення терпіння;
- Закінчення пошуку сенсу;
- необхідність звертати увагу на сигнали від тіла щодо здоров'я, від емоцій чи загального «відчуття» ситуації. Також той, хто звертає увагу.
",,,
Повішений and Помірність,"- Почуття відмови.
Людина, яка надто легко здається. Заохочення має бути
тонким, але це дуже допоможе.
- пожертвувати середнім шляхом;
- жертвувати терпінням;
- жертва набуття сенсу;
- звільнити середній шлях;
- випустити терпіння;
- випуск набуття сенсу;
- мучеництво середнього шляху;
- мученицьке терпіння;
- мучеництво набуває сенсу;
- Почуття відмови. Аперсон, який надто легко здається. Заохочення має завдати збитків, але це дуже допоможе.
",,,
Справедливість and Поміркованість,"- Адептність у тонких
формах традиційної психології Вроджена відьма. Той хто
швидко навчається на невеликому досвіді. Людина, про яку
можна сказати, що він чи вона знає речі, які не вивчені.
- причина та наслідок середнього шляху;
- причинно-наслідкове терпіння;
- причинно-наслідковий пошук сенсу;
- Чіткість середнього шляху;
- ясність терпіння;
- ясність набуття сенсу;
- Щоправда середнього шляху;
- правда терпіння;
- Встановлення істини;
- Адептність у тонких формах традиційної психології. Вроджена відьма. Той, хто швидко навчається на невеликому досвіді. Людина, про яку можна сказати, що вона або вона знає те, чого не навчилися.
",,,
Колесо Фортуни and Поміркованість,"- Вміння образотворчого
мистецтва та малих ремесел. Вміння перетворювати ідеї на
бажані роботи. Гарна реалізація планів.
- Змінити середній шлях;
- Зміни терпіння;
- Змінити зміст пошуку;
- цикли середнього шляху;
- цикли терпіння;
- цикли набуття сенсу;
- Неминуча доля середнього шляху;
- Неминуча доля терпіння;
- неминуча доля набуває сенсу;
- Вміння у Finearts та у малих ремесел. Вміння перетворювати ідеї на бажані роботи. Гарна реалізація планів.
",,,
Смерть and Суд,"- Ситуація чи трансформація самі по собі незручні, але отримати ці дві карти насправді чудова річ. Це означає, що ви залишаєте позаду щось, що більше не служить вам: чи то особистісна риса, віра, цінність, мислення чи спосіб мислення. І ви збираєтеся досягти чогось іншого, швидше за все, краще або більше придатного для вас;
- Нові починання;
- Доля трансформації;
- Припинення розплати;
- Закінчення пробудження;
- Значення Судження Трампа особливо підкреслено. Світ та задоволення життя. Іноді біль, виразка або втома.
",,,
Смерть and Десятка пентаклей,"- Закінчення кульмінації;
- Припинення успадкування;
",,,
